,locus_tag,species,cluster_rep,fold
XP_003644131.1,Ecym_1056,e_cym,XP_003644131.1,4
XP_003644132.1,Ecym_1057,e_cym,k_nag:XP_022464946.1,3
XP_003644133.1,Ecym_1058,e_cym,XP_003644133.1,0
XP_003644135.1,Ecym_1060,e_cym,XP_003644135.1,4
XP_003644136.1,Ecym_1061,e_cym,XP_003644136.1,0
XP_003644138.1,Ecym_1063,e_cym,n_dai:XP_003670995.1,3
XP_003644140.1,Ecym_1065,e_cym,XP_003644140.1,3
XP_003644141.1,Ecym_1066,e_cym,XP_003644141.1,2
XP_003644142.1,Ecym_1067,e_cym,k_nag:XP_022464952.1,4
XP_003644144.1,Ecym_1069,e_cym,c_gla:XP_445023.1,3
XP_003644147.1,Ecym_1072,e_cym,XP_003644147.1,4
XP_003644148.1,Ecym_1073,e_cym,XP_003644148.1,4
XP_003644149.1,Ecym_1074,e_cym,XP_003644149.1,1
XP_003644150.1,Ecym_1075,e_cym,XP_003644150.1,3
XP_003644152.1,Ecym_1077,e_cym,XP_003644152.1,4
XP_003644153.1,Ecym_1078,e_cym,XP_003644153.1,4
XP_003644158.1,Ecym_1084,e_cym,XP_003644158.1,4
XP_003644159.1,Ecym_1085,e_cym,XP_003644159.1,1
XP_003644160.1,Ecym_1086,e_cym,XP_003644160.1,3
XP_003644161.1,Ecym_1087,e_cym,XP_003644161.1,1
XP_003644162.1,Ecym_1088,e_cym,e_gos:NP_986215.2,2
XP_003644163.1,Ecym_1089,e_cym,XP_003644163.1,2
XP_003644164.1,Ecym_1090,e_cym,XP_003644164.1,3
XP_003644165.1,Ecym_1091,e_cym,XP_003644165.1,3
XP_003644166.1,Ecym_1093,e_cym,XP_003644166.1,2
XP_003644167.1,Ecym_1094,e_cym,XP_003644167.1,4
XP_003644168.1,Ecym_1095,e_cym,XP_003644168.1,0
XP_003644169.1,Ecym_1096,e_cym,XP_003644169.1,0
XP_003644171.1,Ecym_1098,e_cym,XP_003644171.1,0
XP_003644172.1,Ecym_1099,e_cym,XP_003644172.1,0
XP_003644175.1,Ecym_1103,e_cym,XP_003644175.1,3
XP_003644177.1,Ecym_1104,e_cym,XP_003644177.1,4
XP_003644178.1,Ecym_1106,e_cym,XP_003644178.1,3
XP_003644179.1,Ecym_1107,e_cym,XP_003644179.1,2
XP_003644180.1,Ecym_1108,e_cym,XP_003644180.1,2
XP_003644181.1,Ecym_1109,e_cym,XP_003644181.1,4
XP_003644182.1,Ecym_1110,e_cym,XP_003644182.1,1
XP_003644183.1,Ecym_1112,e_cym,e_cym:XP_003644183.1,4
XP_003644184.1,Ecym_1113,e_cym,c_alb:XP_710661.1,2
XP_003644187.1,Ecym_1116,e_cym,XP_003644187.1,0
XP_003644189.1,Ecym_1118,e_cym,z_rou:XP_002497903.1,0
XP_003644190.1,Ecym_1119,e_cym,XP_003644190.1,3
XP_003644191.1,Ecym_1120,e_cym,XP_003644191.1,3
XP_003644193.1,Ecym_1122,e_cym,XP_003644193.1,4
XP_003644195.1,Ecym_1125,e_cym,XP_003644195.1,1
XP_003644196.1,Ecym_1126,e_cym,XP_003644196.1,2
XP_003644199.1,Ecym_1130,e_cym,e_cym:XP_003644199.1,1
XP_003644200.1,Ecym_1131,e_cym,XP_003644200.1,2
XP_003644201.1,Ecym_1132,e_cym,n_cas:XP_003673563.1,0
XP_003644202.1,Ecym_1133,e_cym,XP_003644202.1,3
XP_003644203.1,Ecym_1134,e_cym,XP_003644203.1,3
XP_003644205.1,Ecym_1136,e_cym,XP_003644205.1,3
XP_003644206.1,Ecym_1137,e_cym,XP_003644206.1,3
XP_003644207.1,Ecym_1138,e_cym,k_mar:XP_022676288.1,3
XP_003644208.1,Ecym_1139,e_cym,XP_003644208.1,0
XP_003644209.1,Ecym_1140,e_cym,XP_003644209.1,3
XP_003644210.1,Ecym_1141,e_cym,k_nag:XP_022463337.1,2
XP_003644211.1,Ecym_1142,e_cym,XP_003644211.1,4
XP_003644214.1,Ecym_1145,e_cym,XP_003644214.1,2
XP_003644217.1,Ecym_1148,e_cym,XP_003644217.1,0
XP_003644218.1,Ecym_1149,e_cym,s_cer:NP_013642.1,3
XP_003644219.1,Ecym_1151,e_cym,XP_003644219.1,4
XP_003644222.1,Ecym_1154,e_cym,XP_003644222.1,2
XP_003644223.1,Ecym_1155,e_cym,e_cym:XP_003644223.1,1
XP_003644224.1,Ecym_1156,e_cym,c_dub:XP_002416961.1,3
XP_003644227.1,Ecym_1159,e_cym,XP_003644227.1,3
XP_003644228.1,Ecym_1161,e_cym,XP_003644228.1,2
XP_003644229.1,Ecym_1162,e_cym,n_dai:XP_003672406.1,3
XP_003644230.1,Ecym_1163,e_cym,XP_003644230.1,2
XP_003644231.1,Ecym_1164,e_cym,k_lac:XP_451768.1,3
XP_003644234.1,Ecym_1167,e_cym,XP_003644234.1,1
XP_003644237.1,Ecym_1170,e_cym,XP_003644237.1,1
XP_003644240.1,Ecym_1173,e_cym,XP_003644240.1,4
XP_003644241.1,Ecym_1174,e_cym,XP_003644241.1,0
XP_003644242.1,Ecym_1175,e_cym,XP_003644242.1,1
XP_003644244.1,Ecym_1177,e_cym,XP_003644244.1,1
XP_003644248.1,Ecym_1181,e_cym,XP_003644248.1,1
XP_003644249.1,Ecym_1182,e_cym,XP_003644249.1,3
XP_003644250.1,Ecym_1183,e_cym,XP_003644250.1,2
XP_003644251.1,Ecym_1184,e_cym,XP_003644251.1,1
XP_003644252.1,Ecym_1185,e_cym,XP_003644252.1,1
XP_003644253.1,Ecym_1187,e_cym,e_gos:NP_984149.1,1
XP_003644254.1,Ecym_1188,e_cym,XP_003644254.1,1
XP_003644255.1,Ecym_1190,e_cym,c_gla:XP_447199.1,1
XP_003644257.1,Ecym_1192,e_cym,XP_003644257.1,0
XP_003644259.1,Ecym_1194,e_cym,k_nag:XP_022462741.1,2
XP_003644262.1,Ecym_1197,e_cym,XP_003644262.1,4
XP_003644263.1,Ecym_1198,e_cym,XP_003644263.1,3
XP_003644264.1,Ecym_1199,e_cym,XP_003644264.1,0
XP_003644265.1,Ecym_1200,e_cym,XP_003644265.1,2
XP_003644267.1,Ecym_1202,e_cym,XP_003644267.1,3
XP_003644268.1,Ecym_1203,e_cym,XP_003644268.1,3
XP_003644269.1,Ecym_1204,e_cym,k_nag:XP_022462751.1,4
XP_003644271.1,Ecym_1207,e_cym,c_alb:XP_710395.2,0
XP_003644272.1,Ecym_1208,e_cym,XP_003644272.1,3
XP_003644273.1,Ecym_1209,e_cym,XP_003644273.1,2
XP_003644274.1,Ecym_1210,e_cym,XP_003644274.1,4
XP_003644275.1,Ecym_1211,e_cym,n_dai:XP_003668875.1,0
XP_003644276.1,Ecym_1212,e_cym,n_cas:XP_003677205.1,1
XP_003644278.1,Ecym_1214,e_cym,XP_003644278.1,3
XP_003644279.1,Ecym_1215,e_cym,k_afr:XP_003958140.1,0
XP_003644281.1,Ecym_1217,e_cym,XP_003644281.1,3
XP_003644282.1,Ecym_1218,e_cym,z_rou:XP_002495918.1,1
XP_003644283.1,Ecym_1219,e_cym,e_gos:NP_986093.1,2
XP_003644284.1,Ecym_1220,e_cym,k_afr:XP_003958546.1,1
XP_003644289.1,Ecym_1225,e_cym,XP_003644289.1,3
XP_003644292.1,Ecym_1228,e_cym,XP_003644292.1,4
XP_003644293.1,Ecym_1230,e_cym,n_cas:XP_003676507.1,0
XP_003644295.1,Ecym_1232,e_cym,XP_003644295.1,1
XP_003644297.1,Ecym_1234,e_cym,XP_003644297.1,4
XP_003644298.1,Ecym_1235,e_cym,c_dub:XP_002419283.1,3
XP_003644299.1,Ecym_1236,e_cym,XP_003644299.1,4
XP_003644304.1,Ecym_1242,e_cym,XP_003644304.1,2
XP_003644305.1,Ecym_1244,e_cym,n_dai:XP_003668857.1,4
XP_003644306.1,Ecym_1245,e_cym,XP_003644306.1,1
XP_003644307.1,Ecym_1247,e_cym,XP_003644307.1,0
XP_003644308.1,Ecym_1248,e_cym,XP_003644308.1,4
XP_003644309.1,Ecym_1249,e_cym,XP_003644309.1,4
XP_003644310.1,Ecym_1250,e_cym,n_cas:XP_003674094.1,4
XP_003644311.1,Ecym_1251,e_cym,e_cym:XP_003644311.1,1
XP_003644312.1,Ecym_1253,e_cym,XP_003644312.1,1
XP_003644313.1,Ecym_1254,e_cym,XP_003644313.1,1
XP_003644314.1,Ecym_1255,e_cym,XP_003644314.1,3
XP_003644315.1,Ecym_1256,e_cym,XP_003644315.1,2
XP_003644317.1,Ecym_1258,e_cym,n_dai:XP_003670418.1,4
XP_003644318.1,Ecym_1259,e_cym,XP_003644318.1,3
XP_003644321.1,Ecym_1262,e_cym,XP_003644321.1,3
XP_003644322.1,Ecym_1263,e_cym,XP_003644322.1,0
XP_003644323.1,Ecym_1264,e_cym,c_alb:XP_721933.1,2
XP_003644324.1,Ecym_1265,e_cym,e_gos:NP_982559.1,1
XP_003644325.1,Ecym_1266,e_cym,XP_003644325.1,0
XP_003644326.1,Ecym_1268,e_cym,XP_003644326.1,4
XP_003644328.1,Ecym_1270,e_cym,XP_003644328.1,0
XP_003644329.1,Ecym_1271,e_cym,XP_003644329.1,4
XP_003644330.1,Ecym_1272,e_cym,k_mar:XP_022677930.1,2
XP_003644333.1,Ecym_1275,e_cym,XP_003644333.1,1
XP_003644334.1,Ecym_1276,e_cym,k_mar:XP_022675501.1,1
XP_003644337.1,Ecym_1280,e_cym,k_lac:XP_455655.1,3
XP_003644338.1,Ecym_1282,e_cym,XP_003644338.1,2
XP_003644339.1,Ecym_1283,e_cym,XP_003644339.1,2
XP_003644340.1,Ecym_1284,e_cym,k_afr:XP_003959147.1,4
XP_003644341.1,Ecym_1285,e_cym,XP_003644341.1,1
XP_003644342.1,Ecym_1286,e_cym,n_cas:XP_003675855.1,3
XP_003644343.1,Ecym_1287,e_cym,XP_003644343.1,3
XP_003644345.1,Ecym_1289,e_cym,s_cer:NP_958835.1,2
XP_003644347.1,Ecym_1291,e_cym,e_gos:NP_982535.1,4
XP_003644348.1,Ecym_1292,e_cym,k_nag:XP_022465828.1,1
XP_003644349.1,Ecym_1293,e_cym,s_cer:NP_014392.3,0
XP_003644350.1,Ecym_1295,e_cym,XP_003644350.1,1
XP_003644351.1,Ecym_1296,e_cym,c_alb:XP_720371.1,0
XP_003644352.1,Ecym_1297,e_cym,c_dub:XP_002421280.1,0
XP_003644353.1,Ecym_1298,e_cym,e_cym:XP_003644353.1,2
XP_003644358.1,Ecym_1303,e_cym,XP_003644358.1,2
XP_003644359.1,Ecym_1304,e_cym,XP_003644359.1,4
XP_003644360.1,Ecym_1305,e_cym,XP_003644360.1,4
XP_003644361.1,Ecym_1306,e_cym,c_dub:XP_002418510.1,2
XP_003644362.1,Ecym_1307,e_cym,XP_003644362.1,0
XP_003644363.1,Ecym_1308,e_cym,XP_003644363.1,0
XP_003644364.1,Ecym_1309,e_cym,XP_003644364.1,1
XP_003644366.1,Ecym_1311,e_cym,XP_003644366.1,2
XP_003644367.1,Ecym_1312,e_cym,k_afr:XP_003958865.1,4
XP_003644369.1,Ecym_1317,e_cym,n_cas:XP_003678326.1,1
XP_003644370.1,Ecym_1318,e_cym,n_cas:XP_003677845.1,1
XP_003644371.1,Ecym_1319,e_cym,n_cas:XP_003678326.1,1
XP_003644372.1,Ecym_1320,e_cym,XP_003644372.1,0
XP_003644373.1,Ecym_1321,e_cym,XP_003644373.1,1
XP_003644374.1,Ecym_1322,e_cym,XP_003644374.1,4
XP_003644375.1,Ecym_1323,e_cym,XP_003644375.1,1
XP_003644377.1,Ecym_1325,e_cym,XP_003644377.1,3
XP_003644378.1,Ecym_1326,e_cym,XP_003644378.1,2
XP_003644379.1,Ecym_1327,e_cym,XP_003644379.1,2
XP_003644380.1,Ecym_1328,e_cym,XP_003644380.1,3
XP_003644382.1,Ecym_1330,e_cym,XP_003644382.1,2
XP_003644383.1,Ecym_1331,e_cym,XP_003644383.1,0
XP_003644384.1,Ecym_1332,e_cym,XP_003644384.1,1
XP_003644387.1,Ecym_1336,e_cym,XP_003644387.1,3
XP_003644388.1,Ecym_1337,e_cym,XP_003644388.1,2
XP_003644392.1,Ecym_1341,e_cym,k_mar:XP_022674053.1,2
XP_003644396.1,Ecym_1345,e_cym,XP_003644396.1,4
XP_003644397.1,Ecym_1346,e_cym,XP_003644397.1,1
XP_003644398.1,Ecym_1347,e_cym,e_gos:NP_984817.1,4
XP_003644399.1,Ecym_1348,e_cym,k_lac:XP_451487.1,4
XP_003644402.1,Ecym_1351,e_cym,XP_003644402.1,4
XP_003644403.1,Ecym_1353,e_cym,n_cas:XP_003677564.1,0
XP_003644404.1,Ecym_1354,e_cym,XP_003644404.1,4
XP_003644409.1,Ecym_1359,e_cym,XP_003644409.1,4
XP_003644410.1,Ecym_1360,e_cym,XP_003644410.1,2
XP_003644412.1,Ecym_1362,e_cym,c_tro:XP_002550826.1,3
XP_003644413.1,Ecym_1363,e_cym,s_cer:NP_010893.3,4
XP_003644414.1,Ecym_1364,e_cym,XP_003644414.1,1
XP_003644415.1,Ecym_1365,e_cym,XP_003644415.1,1
XP_003644416.1,Ecym_1366,e_cym,XP_003644416.1,1
XP_003644417.1,Ecym_1367,e_cym,XP_003644417.1,2
XP_003644418.1,Ecym_1368,e_cym,n_dai:XP_003980144.1,0
XP_003644419.1,Ecym_1369,e_cym,XP_003644419.1,2
XP_003644420.1,Ecym_1370,e_cym,XP_003644420.1,2
XP_003644421.1,Ecym_1371,e_cym,c_alb:XP_019330863.1,2
XP_003644422.1,Ecym_1372,e_cym,XP_003644422.1,3
XP_003644425.1,Ecym_1375,e_cym,e_gos:NP_984791.1,3
XP_003644426.1,Ecym_1376,e_cym,XP_003644426.1,3
XP_003644428.1,Ecym_1378,e_cym,XP_003644428.1,3
XP_003644429.1,Ecym_1379,e_cym,k_nag:XP_022465365.1,4
XP_003644432.1,Ecym_1384,e_cym,XP_003644432.1,4
XP_003644433.1,Ecym_1385,e_cym,XP_003644433.1,2
XP_003644434.1,Ecym_1386,e_cym,k_lac:XP_452956.1,0
XP_003644435.1,Ecym_1387,e_cym,k_mar:XP_022677871.1,3
XP_003644436.1,Ecym_1388,e_cym,n_dai:XP_003670080.1,0
XP_003644437.1,Ecym_1390,e_cym,XP_003644437.1,4
XP_003644438.1,Ecym_1391,e_cym,XP_003644438.1,1
XP_003644439.1,Ecym_1392,e_cym,k_nag:XP_022465654.1,1
XP_003644440.1,Ecym_1393,e_cym,n_cas:XP_003674485.1,4
XP_003644441.1,Ecym_1394,e_cym,XP_003644441.1,1
XP_003644442.1,Ecym_1395,e_cym,XP_003644442.1,1
XP_003644443.1,Ecym_1396,e_cym,XP_003644443.1,1
XP_003644444.1,Ecym_1397,e_cym,k_mar:XP_022675641.1,0
XP_003644446.1,Ecym_1400,e_cym,XP_003644446.1,3
XP_003644447.1,Ecym_1401,e_cym,XP_003644447.1,4
XP_003644448.1,Ecym_1402,e_cym,XP_003644448.1,2
XP_003644450.1,Ecym_1404,e_cym,XP_003644450.1,3
XP_003644451.1,Ecym_1405,e_cym,XP_003644451.1,2
XP_003644452.1,Ecym_1406,e_cym,XP_003644452.1,4
XP_003644453.1,Ecym_1407,e_cym,XP_003644453.1,0
XP_003644454.1,Ecym_1409,e_cym,XP_003644454.1,1
XP_003644455.1,Ecym_1410,e_cym,XP_003644455.1,0
XP_003644457.1,Ecym_1412,e_cym,c_gla:XP_445823.2,4
XP_003644458.1,Ecym_1413,e_cym,XP_003644458.1,0
XP_003644466.1,Ecym_1421,e_cym,k_afr:XP_003959010.1,4
XP_003644467.1,Ecym_1422,e_cym,k_mar:XP_022674393.1,4
XP_003644468.1,Ecym_1423,e_cym,XP_003644468.1,4
XP_003644469.1,Ecym_1424,e_cym,XP_003644469.1,4
XP_003644470.1,Ecym_1425,e_cym,k_afr:XP_003959013.1,1
XP_003644471.1,Ecym_1426,e_cym,k_lac:XP_454435.1,2
XP_003644472.1,Ecym_1427,e_cym,XP_003644472.1,0
XP_003644473.1,Ecym_1429,e_cym,k_lac:XP_454431.1,0
XP_003644476.1,Ecym_1432,e_cym,XP_003644476.1,2
XP_003644477.1,Ecym_1433,e_cym,XP_003644477.1,1
XP_003644478.1,Ecym_1434,e_cym,XP_003644478.1,4
XP_003644479.1,Ecym_1435,e_cym,k_mar:XP_022675509.1,1
XP_003644480.1,Ecym_1436,e_cym,XP_003644480.1,0
XP_003644482.1,Ecym_1439,e_cym,XP_003644482.1,3
XP_003644484.1,Ecym_1441,e_cym,XP_003644484.1,0
XP_003644486.1,Ecym_1443,e_cym,XP_003644486.1,1
XP_003644487.1,Ecym_1444,e_cym,XP_003644487.1,0
XP_003644488.1,Ecym_1445,e_cym,n_cas:XP_003673460.1,0
XP_003644489.1,Ecym_1446,e_cym,k_mar:XP_022675892.1,2
XP_003644491.1,Ecym_1448,e_cym,XP_003644491.1,0
XP_003644492.1,Ecym_1449,e_cym,k_afr:XP_003955238.1,0
XP_003644493.1,Ecym_1450,e_cym,XP_003644493.1,3
XP_003644496.1,Ecym_1453,e_cym,XP_003644496.1,4
XP_003644497.1,Ecym_1454,e_cym,n_cas:XP_003675747.1,4
XP_003644498.1,Ecym_1455,e_cym,e_cym:XP_003644498.1,4
XP_003644500.1,Ecym_1457,e_cym,XP_003644500.1,0
XP_003644502.1,Ecym_1459,e_cym,e_gos:NP_986063.1,1
XP_003644507.1,Ecym_1464,e_cym,XP_003644507.1,4
XP_003644508.1,Ecym_1465,e_cym,XP_003644508.1,3
XP_003644509.1,Ecym_1466,e_cym,XP_003644509.1,3
XP_003644510.1,Ecym_1467,e_cym,XP_003644510.1,3
XP_003644512.1,Ecym_1469,e_cym,XP_003644512.1,2
XP_003644513.1,Ecym_1470,e_cym,c_tro:XP_002550109.1,3
XP_003644514.1,Ecym_1471,e_cym,s_cer:NP_013963.1,0
XP_003644515.1,Ecym_1472,e_cym,XP_003644515.1,1
XP_003644516.1,Ecym_1473,e_cym,XP_003644516.1,4
XP_003644517.1,Ecym_1474,e_cym,XP_003644517.1,1
XP_003644519.1,Ecym_1476,e_cym,XP_003644519.1,2
XP_003644521.1,Ecym_1478,e_cym,XP_003644521.1,3
XP_003644523.1,Ecym_1481,e_cym,s_cer:NP_014948.1,0
XP_003644524.1,Ecym_1482,e_cym,XP_003644524.1,1
XP_003644527.1,Ecym_1485,e_cym,XP_003644527.1,0
XP_003644528.1,Ecym_1486,e_cym,c_gla:XP_448544.1,4
XP_003644530.1,Ecym_1489,e_cym,k_nag:XP_022466393.1,3
XP_003644531.1,Ecym_1490,e_cym,c_gla:XP_447674.1,4
XP_003644532.1,Ecym_1491,e_cym,c_gla:XP_448543.1,2
XP_003644533.1,Ecym_1492,e_cym,XP_003644533.1,4
XP_003644535.1,Ecym_1494,e_cym,XP_003644535.1,3
XP_003644536.1,Ecym_1495,e_cym,XP_003644536.1,4
XP_003644538.1,Ecym_1497,e_cym,XP_003644538.1,3
XP_003644540.1,Ecym_1499,e_cym,XP_003644540.1,1
XP_003644541.1,Ecym_1500,e_cym,XP_003644541.1,4
XP_003644542.1,Ecym_1501,e_cym,XP_003644542.1,1
XP_003644546.1,Ecym_1505,e_cym,k_afr:XP_003956881.1,4
XP_003644549.1,Ecym_1508,e_cym,XP_003644549.1,0
XP_003644550.1,Ecym_1509,e_cym,e_gos:NP_983621.2,3
XP_003644551.1,Ecym_1511,e_cym,n_cas:XP_003675729.1,2
XP_003644552.1,Ecym_1512,e_cym,XP_003644552.1,2
XP_003644553.1,Ecym_1513,e_cym,e_gos:NP_983625.1,4
XP_003644554.1,Ecym_1514,e_cym,XP_003644554.1,4
XP_003644555.1,Ecym_1516,e_cym,z_rou:XP_002497322.1,2
XP_003644556.1,Ecym_1517,e_cym,XP_003644556.1,0
XP_003644557.1,Ecym_1518,e_cym,k_nag:XP_022464815.1,3
XP_003644559.1,Ecym_1520,e_cym,k_mar:XP_022677670.1,2
XP_003644561.1,Ecym_1522,e_cym,XP_003644561.1,2
XP_003644562.1,Ecym_1524,e_cym,XP_003644562.1,1
XP_003644563.1,Ecym_1525,e_cym,z_rou:XP_002497310.1,4
XP_003644564.1,Ecym_1526,e_cym,XP_003644564.1,0
XP_003644565.1,Ecym_1527,e_cym,XP_003644565.1,1
XP_003644566.1,Ecym_1529,e_cym,XP_003644566.1,0
XP_003644567.1,Ecym_1530,e_cym,XP_003644567.1,0
XP_003644568.1,Ecym_1531,e_cym,k_afr:XP_003956868.1,3
XP_003644569.1,Ecym_1532,e_cym,e_gos:NP_983184.1,0
XP_003644570.1,Ecym_1533,e_cym,c_gla:XP_448775.1,4
XP_003644571.1,Ecym_1534,e_cym,k_afr:XP_003956492.1,3
XP_003644572.1,Ecym_1535,e_cym,XP_003644572.1,2
XP_003644573.1,Ecym_1536,e_cym,XP_003644573.1,4
XP_003644575.1,Ecym_1538,e_cym,XP_003644575.1,3
XP_003644576.1,Ecym_1539,e_cym,XP_003644576.1,2
XP_003644577.1,Ecym_1540,e_cym,XP_003644577.1,4
XP_003644578.1,Ecym_1541,e_cym,XP_003644578.1,0
XP_003644579.1,Ecym_2002,e_cym,XP_003644579.1,2
XP_003644580.1,Ecym_2003,e_cym,XP_003644580.1,2
XP_003644581.1,Ecym_2004,e_cym,XP_003644581.1,1
XP_003644582.1,Ecym_2005,e_cym,XP_003644582.1,2
XP_003644583.1,Ecym_2006,e_cym,XP_003644583.1,3
XP_003644584.1,Ecym_2007,e_cym,XP_003644584.1,4
XP_003644585.1,Ecym_2008,e_cym,XP_003644585.1,2
XP_003644586.1,Ecym_2009,e_cym,XP_003644586.1,0
XP_003644587.1,Ecym_2010,e_cym,n_cas:XP_003675786.1,1
XP_003644588.1,Ecym_2012,e_cym,XP_003644588.1,0
XP_003644590.1,Ecym_2014,e_cym,XP_003644590.1,4
XP_003644591.1,Ecym_2015,e_cym,XP_003644591.1,3
XP_003644592.1,Ecym_2016,e_cym,XP_003644592.1,2
XP_003644594.1,Ecym_2018,e_cym,XP_003644594.1,3
XP_003644595.1,Ecym_2019,e_cym,XP_003644595.1,3
XP_003644597.1,Ecym_2021,e_cym,XP_003644597.1,1
XP_003644598.1,Ecym_2022,e_cym,XP_003644598.1,0
XP_003644599.1,Ecym_2023,e_cym,XP_003644599.1,4
XP_003644601.1,Ecym_2025,e_cym,XP_003644601.1,4
XP_003644602.1,Ecym_2026,e_cym,n_dai:XP_003671403.2,2
XP_003644603.1,Ecym_2027,e_cym,XP_003644603.1,4
XP_003644604.1,Ecym_2028,e_cym,XP_003644604.1,4
XP_003644605.1,Ecym_2029,e_cym,c_gla:XP_002999535.1,1
XP_003644606.1,Ecym_2030,e_cym,XP_003644606.1,4
XP_003644607.1,Ecym_2031,e_cym,XP_003644607.1,0
XP_003644608.1,Ecym_2033,e_cym,XP_003644608.1,3
XP_003644609.1,Ecym_2034,e_cym,XP_003644609.1,3
XP_003644610.1,Ecym_2035,e_cym,XP_003644610.1,2
XP_003644611.1,Ecym_2036,e_cym,XP_003644611.1,0
XP_003644612.1,Ecym_2037,e_cym,XP_003644612.1,1
XP_003644614.1,Ecym_2039,e_cym,XP_003644614.1,4
XP_003644615.1,Ecym_2041,e_cym,XP_003644615.1,3
XP_003644616.1,Ecym_2042,e_cym,k_nag:XP_022462068.1,2
XP_003644618.1,Ecym_2044,e_cym,k_lac:XP_454286.1,2
XP_003644620.1,Ecym_2046,e_cym,XP_003644620.1,1
XP_003644621.1,Ecym_2047,e_cym,XP_003644621.1,3
XP_003644622.1,Ecym_2048,e_cym,XP_003644622.1,2
XP_003644623.1,Ecym_2049,e_cym,XP_003644623.1,2
XP_003644624.1,Ecym_2050,e_cym,XP_003644624.1,4
XP_003644625.1,Ecym_2051,e_cym,XP_003644625.1,0
XP_003644626.1,Ecym_2052,e_cym,c_alb:XP_019330873.1,2
XP_003644627.1,Ecym_2053,e_cym,k_nag:XP_022462075.1,4
XP_003644628.1,Ecym_2054,e_cym,XP_003644628.1,4
XP_003644629.1,Ecym_2055,e_cym,XP_003644629.1,3
XP_003644639.1,Ecym_2065,e_cym,XP_003644639.1,1
XP_003644640.1,Ecym_2066,e_cym,XP_003644640.1,0
XP_003644642.1,Ecym_2068,e_cym,e_cym:XP_003644642.1,1
XP_003644643.1,Ecym_2069,e_cym,s_cer:NP_011736.1,0
XP_003644644.1,Ecym_2070,e_cym,z_rou:XP_002495609.1,3
XP_003644645.1,Ecym_2071,e_cym,z_rou:XP_002495608.1,1
XP_003644648.1,Ecym_2075,e_cym,XP_003644648.1,3
XP_003644649.1,Ecym_2076,e_cym,XP_003644649.1,0
XP_003644651.1,Ecym_2078,e_cym,XP_003644651.1,4
XP_003644652.1,Ecym_2079,e_cym,XP_003644652.1,4
XP_003644654.1,Ecym_2082,e_cym,XP_003644654.1,2
XP_003644655.1,Ecym_2085,e_cym,XP_003644655.1,4
XP_003644656.1,Ecym_2086,e_cym,XP_003644656.1,1
XP_003644657.1,Ecym_2087,e_cym,XP_003644657.1,0
XP_003644658.1,Ecym_2088,e_cym,c_dub:XP_002419442.1,2
XP_003644659.1,Ecym_2089,e_cym,XP_003644659.1,3
XP_003644661.1,Ecym_2091,e_cym,XP_003644661.1,1
XP_003644663.1,Ecym_2093,e_cym,s_cer:NP_009984.1,2
XP_003644664.1,Ecym_2094,e_cym,XP_003644664.1,3
XP_003644665.1,Ecym_2095,e_cym,n_cas:XP_003676388.1,3
XP_003644666.1,Ecym_2096,e_cym,XP_003644666.1,0
XP_003644667.1,Ecym_2097,e_cym,XP_003644667.1,4
XP_003644668.1,Ecym_2098,e_cym,XP_003644668.1,0
XP_003644669.1,Ecym_2099,e_cym,XP_003644669.1,4
